Date,Price,Open,High,Low,Vol.,Change %
11-Feb-19,82.77,82.34,84.43,82.07,-,0.08%
8-Feb-19,82.7,86.05,88.88,82.56,-,-2.72%
7-Feb-19,85.01,86.55,88.96,83.63,-,0.02%
6-Feb-19,84.99,85.75,86.31,84.04,-,5.42%
5-Feb-19,80.62,76.85,81.04,76.07,-,4.21%
4-Feb-19,77.36,81.74,82.01,76.55,-,-3.30%
1-Feb-19,80,78.99,81.28,78.7,-,0.96%
31-Jan-19,79.24,81.79,82.21,79.11,-,-3.82%
30-Jan-19,82.39,86.05,86.23,81.87,-,-5.12%
29-Jan-19,86.84,85.56,87.95,85.48,-,0.46%
28-Jan-19,86.44,86.68,90.78,86.14,-,3.67%
25-Jan-19,83.38,83.03,84.24,82.77,-,-1.78%
24-Jan-19,84.89,89.27,89.95,83.9,-,-4.02%
23-Jan-19,88.45,92.89,95.39,88.34,-,-5.71%
22-Jan-19,93.81,84.21,96.2,84.07,-,13.72%
18-Jan-19,82.49,81.07,82.88,78.04,-,-0.36%
17-Jan-19,82.79,82.21,83.23,81.48,-,-0.66%
16-Jan-19,83.34,80.87,83.34,80.02,-,2.40%
15-Jan-19,81.39,82.57,82.96,80.1,-,-1.95%
14-Jan-19,83.01,86.33,86.41,81.62,-,-1.00%
11-Jan-19,83.85,87.34,87.91,83.55,-,-2.90%
10-Jan-19,86.35,87.7,89.59,86.22,-,-0.31%
9-Jan-19,86.62,84.35,87.09,84.1,-,5.11%
8-Jan-19,82.41,83,85.45,82.07,-,-0.40%
7-Jan-19,82.74,84.86,85.99,82.47,-,-2.01%
4-Jan-19,84.44,82.07,84.57,80.31,-,0.76%
3-Jan-19,83.8,82.59,85.84,82.32,-,2.62%
2-Jan-19,81.66,89.39,89.45,81.5,-,-6.26%
31-Dec-18,87.11,90.93,91.31,86.82,-,-4.53%
28-Dec-18,91.24,95.96,96.79,90.71,-,-4.85%
27-Dec-18,95.89,97.97,99.28,95.7,-,-1.47%
26-Dec-18,97.32,108.95,109.17,94.57,-,-13.01%
24-Dec-18,111.88,107.57,112.02,107.01,-,4.94%
21-Dec-18,106.61,109.38,109.38,104.17,-,-2.77%
20-Dec-18,109.65,104.7,111.89,103.11,-,4.38%
19-Dec-18,105.05,103.8,106.64,101.17,-,1.36%
18-Dec-18,103.64,101.6,104.65,99.5,-,2.06%
17-Dec-18,101.55,98.19,104.01,96.2,-,5.29%
14-Dec-18,96.45,94.26,97.73,93.28,-,3.71%
13-Dec-18,93,91.73,94.64,91.18,-,1.74%
12-Dec-18,91.41,91.36,93.18,90.04,-,1.83%
11-Dec-18,89.77,90.36,93.61,89.58,-,-2.19%
10-Dec-18,91.78,98.21,99.52,91.49,-,-4.88%
7-Dec-18,96.49,94.53,98.53,93.04,-,2.81%
6-Dec-18,93.85,102.55,104.98,93.46,-,-2.82%
4-Dec-18,96.57,86.65,97.84,85.29,-,12.46%
3-Dec-18,85.87,86.75,89.23,85.56,-,-8.25%
30-Nov-18,93.59,94.33,94.98,93.22,-,0.25%
29-Nov-18,93.36,93.68,95.33,92.47,-,-0.20%
28-Nov-18,93.55,90.58,94.03,90.32,-,2.20%
27-Nov-18,91.54,93.12,94.61,90.75,-,-0.68%
26-Nov-18,92.17,97.94,98.27,91.4,-,-7.17%
23-Nov-18,99.29,102,102.02,98.71,-,-0.98%
21-Nov-18,100.27,106.46,106.54,99.09,-,-6.82%
20-Nov-18,107.61,112.56,112.74,107.56,-,0.45%
19-Nov-18,107.13,103.62,108.24,103.18,-,5.10%
16-Nov-18,101.93,109.28,109.93,101.61,-,-5.08%
15-Nov-18,107.38,113.06,115.52,107.38,-,-3.63%
14-Nov-18,111.42,108.25,114.5,107.42,-,5.79%
13-Nov-18,105.32,107.87,108.43,102.99,-,-2.27%
12-Nov-18,107.77,102.17,108.46,102.03,-,7.18%
9-Nov-18,100.55,96.56,101.47,95.96,-,5.40%
8-Nov-18,95.4,95.92,97.14,92.77,-,-0.37%
7-Nov-18,95.75,98.36,98.79,93.3,-,-6.57%
6-Nov-18,102.48,102.14,103.67,101.04,-,0.64%
5-Nov-18,101.83,104.45,104.46,101.73,-,-0.54%
2-Nov-18,102.38,98.61,105.71,97.77,-,2.82%
1-Nov-18,99.57,102.31,102.71,98.9,-,-3.24%
31-Oct-18,102.9,104.97,105.07,100.65,-,-3.00%
30-Oct-18,106.08,111.56,111.62,105.71,-,-3.90%
29-Oct-18,110.39,110.32,114.28,108.66,-,-0.09%
26-Oct-18,110.49,116.45,120.46,110.1,-,-3.00%
25-Oct-18,113.91,118.49,120.25,110.36,-,-3.94%
24-Oct-18,118.58,110.1,119.56,109.25,-,9.08%
23-Oct-18,108.71,120.76,121.12,108.71,-,-3.07%
22-Oct-18,112.15,114.22,117.28,111.29,-,-2.44%
19-Oct-18,114.95,115.87,118.2,112.12,-,-1.60%
18-Oct-18,116.82,111.49,123.99,109.84,-,6.90%
17-Oct-18,109.28,111.17,117.34,109.28,-,-2.24%
16-Oct-18,111.78,115.57,115.77,111.19,-,-5.89%
15-Oct-18,118.78,125.79,127.86,114.84,-,-4.83%
12-Oct-18,124.81,123.57,133.22,122.79,-,-3.47%
11-Oct-18,129.3,131.58,147.38,124.7,-,-4.65%
10-Oct-18,135.61,113.43,136.43,113.43,-,30.49%
9-Oct-18,103.92,105.62,107.28,100.79,-,1.15%
8-Oct-18,102.74,108.31,112.85,102.31,-,0.11%
5-Oct-18,102.63,98.52,114.59,96.03,-,3.21%
4-Oct-18,99.44,88.74,105.43,88.74,-,15.90%
3-Oct-18,85.8,86.21,87.13,85.3,-,-2.63%
2-Oct-18,88.12,87.13,88.57,85.56,-,1.32%
1-Oct-18,86.97,87.46,88.39,85.42,-,-0.39%
28-Sep-18,87.31,88.52,91.3,86.9,-,-0.40%
27-Sep-18,87.66,90.03,90.12,87.14,-,-4.26%
26-Sep-18,91.56,90.16,92.47,86.76,-,0.54%
25-Sep-18,91.07,90.76,92.02,89.61,-,-0.48%
24-Sep-18,91.51,92.73,94.41,91.41,-,1.45%
21-Sep-18,90.2,86.89,90.2,86.56,-,3.31%
20-Sep-18,87.31,86.74,88.02,86.02,-,-0.99%
19-Sep-18,88.18,90.3,91.22,87.28,-,-4.66%
18-Sep-18,92.49,94.1,94.28,89.62,-,-4.00%
17-Sep-18,96.34,90.78,96.34,89.61,-,9.39%
14-Sep-18,88.07,91.08,91.53,87.9,-,-3.28%
13-Sep-18,91.06,95.2,95.26,90.76,-,-6.36%
12-Sep-18,97.24,99.94,100.57,96.46,-,0.83%
11-Sep-18,96.44,101.14,101.92,95.82,-,-3.93%
10-Sep-18,100.38,101.51,101.66,99.57,-,-1.95%
7-Sep-18,102.38,102.83,103.27,99.04,-,1.01%
6-Sep-18,101.36,96.92,102.7,96.32,-,3.49%
